,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,Rx DCS,DCS Polarity,Tx Power,Scan Add,Busy Lock,PTT ID,Signal Code,Comment,
0,462562500,462562500,0,Simplex,FM,GMRS1,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
1,462587500,462587500,0,Simplex,FM,GMRS2,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
2,462612500,462612500,0,Simplex,FM,GMRS3,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
3,462637500,462637500,0,Simplex,FM,GMRS4,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
4,462662500,462662500,0,Simplex,FM,GMRS5,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
5,462687500,462687500,0,Simplex,FM,GMRS6,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
6,462712500,462712500,0,Simplex,FM,GMRS7,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
7,467562500,467562500,0,No Transmit,FM,GMRS8,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
8,467587500,467587500,0,No Transmit,FM,GMRS9,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
9,467612500,467612500,0,No Transmit,FM,GMRS10,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
10,467637500,467637500,0,No Transmit,FM,GMRS11,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
11,467662500,467662500,0,No Transmit,FM,GMRS12,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
12,467687500,467687500,0,No Transmit,FM,GMRS13,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
13,467712500,467712500,0,No Transmit,FM,GMRS14,None,67.0,67.0,023,023,023,Low,Scan,N,0,0,,
14,462550000,462550000,0,Simplex,FM,GMRS15,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
15,462575000,462575000,0,Simplex,FM,GMRS16,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
16,462600000,462600000,0,Simplex,FM,GMRS17,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
17,462625000,462625000,0,Simplex,FM,GMRS18,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
18,462650000,462650000,0,Simplex,FM,GMRS19,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
19,462675000,462675000,0,Simplex,FM,GMRS20,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
20,462700000,462700000,0,Simplex,FM,GMRS21,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
21,462725000,462725000,0,Simplex,FM,GMRS22,None,67.0,67.0,023,023,023,High,Scan,N,0,0,,
22,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,
